,wtf,ptype,freq
854,lose,VERB,20
855,loss,NOUN,21
859,luciano,NOUN,6
861,louis-van-haal,NOUN,7
862,lukaku,NOUN,5
867,machine,NOUN,18
875,making,VERB,33
876,malaga,NOUN,7
878,man-management,FIXED,34
879,manager,NOUN,131
881,manner,NOUN,8
884,maraoune,NOUN,13
885,marcelo,NOUN,9
886,margin,NOUN,6
887,mark,NOUN,14
892,matarazzi,NOUN,5
893,match,NOUN,55
901,mdpor,NOUN,6
904,media,NOUN,22
907,member,NOUN,11
909,man-management,NOUN,7
914,message,NOUN,5
915,manner,NOUN,5
920,midway,NOUN,13
921,milan,NOUN,11
922,million,NUM,11
927,miss,NOUN,9
934,monaco,NOUN,18
935,month,NOUN,7
936,mood,NOUN,59
948,mulberry,NOUN,14
955,naby,NOUN,6
976,newcastle,NOUN,26
979,newsletter,NOUN,34
982,niasse,NOUN,23
984,night,NOUN,6
986,nine-time,FIXED,12
993,nose,ADV,9
998,november,NOUN,13
1001,occasion,NOUN,10
1004,offence,NOUN,34
1009,ole,NOUN,25
1019,order,NOUN,17
1020,organization,NOUN,6
1030,pace,NOUN,10
1031,palace,NOUN,5
1038,pass,NOUN,12
1042,pave,NOUN,28
1043,pay,NOUN,12
1044,pay-off,FIXED,9
1046,pay-off,NOUN,6
1053,people,NOUN,8
1055,perceive,NOUN,5
1056,perez,NOUN,8
1057,performance,NOUN,6
1060,long-term,NOUN,8
1062,person,NOUN,11
1077,pitch,NOUN,11
1078,place,NOUN,11
1079,plague,NOUN,12
1082,performance,NOUN,74
1083,playmaker,NOUN,8
1086,plugin,NOUN,5
1089,pochettino,NOUN,5
1092,point,NOUN,98
1093,policy,NOUN,5
1098,portuguese,ADJ,18
1099,position,NOUN,95
1101,post,NOUN,17
1106,potter,NOUN,8
1108,praise,NOUN,12
1117,prefer,NOUN,8
1119,prepare,NOUN,8
1120,presence,NOUN,6
1122,press,NOUN,32
1126,prevail,NOUN,5
1129,price,NOUN,8
1130,principal,NOUN,6
1134,problem,NOUN,31
1135,produce,NOUN,6
1137,program,NOUN,10
1148,pull,NOUN,6
1150,pundit,NOUN,14
1155,qatar-based,FIXED,8
1158,qualification,NOUN,9
1160,question,NOUN,14
1177,rate,NOUN,14
1185,remind,NOUN,6
1186,receive,NOUN,21
1190,recount,NOUN,7
1192,recruit,NOUN,5
1196,refer,NOUN,6
1197,refresh,NOUN,5
1198,regal,NOUN,8
1201,register,NOUN,7
1204,champion,FIXED,6
1206,reject,NOUN,5
1207,rejoin,NOUN,7
1209,relax,NOUN,19
1210,qualification,NOUN,5
1212,remain,NOUN,16
1214,remind,NOUN,6
1215,repeat,NOUN,18
1216,report,NOUN,32
1221,resent,NOUN,6
1224,respect,NOUN,33
1225,respond,NOUN,9
1227,restaurant,NOUN,10
1229,result,NOUN,12
1233,retrace,NOUN,76
1235,revealing,VERB,6
1238,rey,NOUN,5
1240,richard,NOUN,5
1242,rift,NOUN,24
1247,river,NOUN,17
1249,road,NOUN,9
1250,rob,NOUN,11
1255,roman,NOUN,12
1261,route,NOUN,7
1264,rt,NOUN,10
1266,rul,NOUN,7
1268,run,VERB,21
1272,sack,NOUN,49
1273,sacrifice,NOUN,8
1276,salah,NOUN,5
1286,save,VERB,11
1287,saw,NOUN,7
1293,score,NOUN,8
1294,score-sheet,FIXED,6
1295,score,NOUN,7
1304,season-defining,FIXED,8
1306,second,ADJ,24
1311,seek,NOUN,24
1312,select,NOUN,8
1322,sense,NOUN,8
1328,seven,NUM,16
1337,shock,NOUN,18
1342,sign,NOUN,9
1345,sigur,NOUN,9
1353,sir,NOUN,5
1355,sitting,VERB,17
1359,sky-sports,FIXED,7
1377,solve,NOUN,30
1380,somewhat,ADV,5
1381,son,NOUN,7
1387,spalletti,NOUN,6
1388,spaniard,NOUN,5
1389,speak,NOUN,26
1393,spend,NOUN,21
1395,spoke,NOUN,6
1397,sport,NOUN,31
1402,spurs,NOUN,10
1403,squad,NOUN,12
1408,stagnant,NOUN,11
1411,stand,NOUN,5
1412,star,NOUN,39
1418,stay,NOUN,12
1419,step,NOUN,7
1423,stop,NOUN,18
1425,tactic,NOUN,5
1426,street,NOUN,5
1429,strip,NOUN,12
1431,stagnant,NOUN,5
1432,challenge,NOUN,8
1434,fasinate,NOUN,6
1438,submit,NOUN,7
1442,succeed,VERB,25
1444,suggest,NOUN,13
1447,sun,NOUN,22
1450,support,NOUN,7
1462,tactic,ADJ,9
1468,talent,NOUN,19
1469,talk,NOUN,32
1474,team-mates,FIXED,43
1480,tell,NOUN,14
1488,test,NOUN,5
1494,thing,NOUN,52
1499,threat,NOUN,9
1500,three-and-a-half,FIXED,33
1506,thursday,NOUN,11
1509,draw,NOUN,6
1513,time,NOUN,38
1521,tomorrow,NOUN,26
1526,world-class,FIXED,12
1534,touch,NOUN,26
1535,league,NOUN,5
1539,track,NOUN,6
1542,trail,NOUN,17
1545,transfer,NOUN,21
1548,travel,NOUN,5
1554,trick,NOUN,5
1557,trophy,NOUN,22
1559,truth,NOUN,22
1560,try,NOUN,13
1564,turn,NOUN,9
1567,tweet,NOUN,9
1568,twice,ADV,11
1569,two-and-a-half,FIXED,34
1588,under-mourinho,FIXED,7
1590,understand,NOUN,5
1591,undoubted,ADJ,6
1593,uni,ADJ,5
1597,unlock,NOUN,7
1606,immense,NOUN,5
1609,user,NOUN,7
1613,utd,NOUN,6
1627,vice-captaincy,FIXED,5
1630,view,NOUN,16
1631,village,NOUN,5
1639,vote,NOUN,10
1643,wake,NOUN,7
1645,want,NOUN,51
1650,wash,NOUN,7
1655,weaken,NOUN,24
1656,wednesday,NOUN,14
1657,week,NOUN,30
1663,arsenal,NOUN,8
1665,werder,NOUN,13
1667,westhamutd,NOUN,9
1680,winger,NOUN,11
1684,winter,NOUN,13
1690,wonder,NOUN,11
1693,world-class,FIXED,74
1700,wry,NOUN,5
1707,zidane,NOUN,8
1708,zlatan,NOUN,5
